Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16-12-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.355,2.745,,78.185,1.16,3.95,3.185,2.71,2.485,1.375,17.27,13.195,15.92,15.925,
Africa Eastern and Southern,AFE,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,7.267280748,8.265537856,9.230531391,10.91754987,11.64612029,12.93098954,14.15156275,14.81075723,15.36648407,17.0402126,19.40086833,20.79641534,21.1674191,21.61684558,21.77264827,23.00481092,23.74707823,24.38729591,27.15170121,29.47077328,32.81229351,32.36905066,26.9725008,25.34332848,24.25340053,22.84694625,21.44668658,23.41455177,22.23944085,21.80175624,21.75321609,20.89680318,20.8196052,19.70941663,19.19579008,21.71340885,22.0499013,20.08757626,20.14576317,19.22751175,19.4229976,23.09376137,18.47296762,19.02030586,16.8945507,19.65389513,20.18239111,20.27648854,19.10371904,20.18233843,21.0536346,18.44823602,18.92505608,19.92496092,19.22970929,21.06416267,24.27423165,23.65595335,23.91776581,28.97397349,27.16569033,25.12266944,
Afghanistan,AFG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,0.14379085,0.142857143,0.141935484,0.141025641,0.141025641,0.191448628,1.274859765,1.912289648,2.162849873,2.465057179,2.594936709,3.680151707,3.109987358,4.285714286,4.599747155,5.592414665,6.855372946,6.784955752,6.288116308,6.46346397,5.778887484,6.672945638,7.152970923,9.178255373,9.224020228,8.505689001,9.98988622,7.04551201,7.029077118,5.625790139,6.144121365,5.790139064,5.112474438,,,0.653851183,0.650618087,0.902410726,0.65333856,0.650787453,2.394897826,3.194390466,3.478546063,4.243778147,3.814784113,3.190854503,2.101268925,1.851684629,1.887862184,1.777859618,3.827005519,2.377852375,4.882714194,10.16611247,13.32449195,13.6801462,20.4525289,17.35222864,10.9725,8.714494827,5.202572487,5.055061949,
Africa Western and Central,AFW,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,0.501088261,0.526723894,0.677504977,0.649340738,0.787900321,1.001106057,1.23164314,1.101988005,1.125475054,1.428564835,1.503448912,1.822671087,1.912050387,2.530939684,3.148649265,3.563983185,4.256624341,3.771816224,4.385951568,4.805001322,5.913777541,5.502106372,6.52831904,6.946126565,6.180544348,6.212266836,5.86620768,6.923069636,7.329471236,7.678938701,7.86870186,8.07423761,8.381282671,6.562209482,5.281115507,5.297389702,5.750241124,5.899315725,6.071077984,5.763463663,5.900976027,5.881190139,6.372690756,6.20149944,6.54396774,8.438175466,5.548148017,6.006619432,6.100046676,9.596152435,6.487657671,8.755398483,8.975221846,8.942710528,9.635814742,11.72435474,15.02082736,14.32821059,14.04187396,16.72240753,13.1041492,10.44791245,
Angola,AGO,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,0.374531835,0.37037037,0.514705882,0.763636364,1.444043321,1.857142857,2.367491166,2.657342657,3.620689655,3.896551724,8.620689655,7.689655172,7.379310345,5.206896552,1.413793103,0.724137931,10.89655172,8.103448276,4.724137931,5.793103448,4.172413793,1.724137931,2.965517241,2.410689655,7.014827586,4.137931034,3.551724138,5.485862069,8.138275862,3.275862069,2.338983051,3.033333333,2.666666667,3.333333333,2.666666667,2,0.666666667,1.133333333,1.133333333,0.466666667,,1.659032258,1.788787879,4.501515152,2.260606061,3.66,3.305,8.258823529,5.47225,8.229285714,11.98382979,8.876048936,9.369120743,9.056087824,7.694993171,6.635911726,9.773157698,7.103552361,6.652424016,7.849204545,5.606854644,13.25830635,
Albania,ALB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,14.58796296,11.9266055,12.04545455,14.4469526,17.39130435,20,31.76229508,74,70.58823529,84.64491363,101.509434,102.962963,106.0218978,114.7217235,111.0124334,125.2173913,135.6896552,171.35506,168.2675815,160.1709402,138.4353741,179.9660441,174.3633277,159.5925297,159.762309,163.4974533,161.0169492,163.559322,182.9896907,176.1658031,54.15224913,40.65743945,31.00519931,25.59792028,19.06412478,11.26516464,8.996539792,43.32755633,18.37088388,32.35294118,32.35294118,97.58477509,99.31956747,101.3073356,112.375316,85.80246575,88.4199654,77.3097377,90.37835796,85.02392971,97.43427653,93.0615571,88.17109058,88.38580247,107.831247,126.1384814,99.80859477,66.58507621,94.43932787,101.4281855,,38.4078415,
Andorra,AND,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,13.69036046,14.09130544,16.86729445,18.1109151,20.34284361,,25.8378036,25.7195092,26.2296196,27.71987968,30.85553296,31.17478525,34.07258021,38.17750081,41.57404564,42.72986667,45.67454448,51.77862341,56.56190122,63.97679508,69.95314557,71.05305143,70.40179331,66.73096189,68.25912163,65.38343284,65.50211071,71.64256949,65.44735727,67.82098513,68.34895999,70.14367135,73.24440551,76.64833764,79.59890776,86.4725977,90.84915006,76.7845686,85.68962669,86.99031487,87.34443238,82.61033016,80.99085402,76.51134653,73.68315683,79.57983884,51.76332274,53.04252675,50.97289007,53.52392975,51.74086097,56.48714194,55.69034281,54.86409276,59.40731683,56.54779898,56.14987662,
United Arab Emirates,ARE,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,79.57142857,66.25,79.88888889,81.81818182,100,75,126.1666667,291.6666667,190.875,192.3684211,211.6111111,199.7826087,113.9583333,143.3461538,49.65517241,107.5862069,186.2068966,417.9310345,357.1428571,499.1428571,586.8421053,692.5,700,744.1860465,700,717.7777778,983.3333333,841.8604651,585,492.9577465,644.8,755.625,767.6190476,667.0588235,834.3873518,940.5829596,798.6434109,558.5022044,617.8581028,654.4286031,645.1253369,579.4426667,385.5359091,462.3988662,407.8770787,350.7364045,326.5304965,298.6719439,351.9895918,327.4151093,327.4151093,
Argentina,ARG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,0.8733129,0.662721585,1.075510204,1.475,1.979375397,2.432802666,3.064321203,2.837029894,3.317929683,3.61100278,3.182137108,3.539314309,3.400310445,3.05197708,2.438038248,3.146908564,2.973984391,4.26406754,5.154416135,4.556558767,3.784966064,4.165528011,4.603550756,6.127498357,6.255530335,5.786745281,6.39740903,6.163006789,5.783906309,6.227657573,6.270614693,9.266380437,10.92971365,17.11237869,19.35805202,31.42731148,29.63396779,28.27711942,29.91064943,31.22225036,31.0672169,30.2339387,40.24077886,43.85640239,35.4391328,40.56342303,48.52169399,34.84410559,22.8523631,39.15801606,41.88427634,34.64067496,36.25234506,35.39633059,26.49722137,40.2733461,41.07579603,47.05878883,50.81880824,55.2626571,62.14867288,63.30316747,
